special_token_size	1
token_size	46
singleton_size	1
singleton_max_count	1
0	*NULL*	1
1	NN	16859
2	JJ	10484
3	DT	9995
4	IN	7827
5	RB	6726
6	.	5989
7	PRP	5116
8	CC	4383
9	,	3952
10	VBD	3765
11	NNS	3536
12	VBZ	3525
13	VB	2836
14	VBP	2357
15	VBN	1596
16	PRP$	1201
17	TO	1122
18	VBG	1024
19	MD	887
20	CD	810
21	HYPH	584
22	WDT	513
23	JJS	439
24	-RRB-	384
25	-LRB-	369
26	RP	366
27	JJR	365
28	:	365
29	NNP	352
30	WRB	290
31	WP	215
32	POS	167
33	PDT	126
34	$	121
35	UH	115
36	RBR	105
37	EX	104
38	FW	86
39	RBS	81
40	''	67
41	SYM	64
42	``	60
43	NFP	33
44	NNPS	6
45	AFX	5
46	ADD	1
